Sequence_id,GC1%,GC2%,GC3%
scaffold1-size789604-gene-0.10,66.51785714285714,49.107142857142854,50.89285714285714
scaffold1-size789604-gene-0.11,43.42105263157895,44.73684210526316,56.57894736842105
scaffold1-size789604-gene-0.12,53.36322869955157,42.152466367713004,42.152466367713004
scaffold1-size789604-gene-0.13,58.851156069364166,45.70086705202312,48.15751445086705
scaffold1-size789604-gene-0.14,63.30749354005169,60.20671834625323,57.622739018087856
scaffold1-size789604-gene-0.15,59.411764705882355,46.470588235294116,50.98039215686274
scaffold1-size789604-gene-0.16,51.47679324894515,43.88185654008439,45.14767932489451
scaffold1-size789604-gene-0.17,52.26244343891403,35.294117647058826,47.28506787330316
scaffold1-size789604-gene-0.18,55.020080321285135,47.389558232931726,57.831325301204814
scaffold1-size789604-gene-0.19,68.65900383141762,49.272030651341,61.91570881226054
scaffold1-size789604-gene-0.20,62.5,36.36363636363637,47.72727272727273
scaffold1-size789604-gene-0.21,53.233830845771145,36.318407960199,50.24875621890548
scaffold1-size789604-gene-0.22,53.891820580474935,44.78891820580475,42.41424802110818
scaffold1-size789604-gene-0.23,55.83756345177665,40.10152284263959,41.11675126903553
scaffold1-size789604-gene-0.24,59.93589743589743,45.83333333333333,52.56410256410257
scaffold1-size789604-gene-0.25,60.35087719298245,38.94736842105263,42.10526315789473
scaffold1-size789604-gene-0.26,53.94990366088632,38.34296724470135,43.54527938342967
scaffold1-size789604-gene-0.27,54.81283422459893,46.524064171122994,44.38502673796791
scaffold1-size789604-gene-0.28,67.8082191780822,43.83561643835616,43.15068493150685
scaffold1-size789604-gene-0.29,53.28719723183391,42.21453287197232,40.830449826989614
scaffold1-size789604-gene-0.30,61.05263157894737,35.78947368421053,57.89473684210527
scaffold1-size789604-gene-1.0,64.70588235294117,41.784989858012175,67.54563894523326
scaffold1-size789604-gene-1.1,58.35140997830802,44.46854663774403,54.880694143167034
scaffold1-size789604-gene-1.10,90.25974025974025,68.83116883116884,55.1948051948052
scaffold1-size789604-gene-1.11,74.64953271028037,58.99532710280374,65.77102803738318
scaffold1-size789604-gene-1.12,55.99284436493739,47.227191413237925,52.772808586762075
scaffold1-size789604-gene-1.13,51.9607843137255,54.90196078431373,45.09803921568628
scaffold1-size789604-gene-1.14,68.8821752265861,62.2356495468278,67.6737160120846
scaffold1-size789604-gene-1.15,57.59803921568627,40.032679738562095,43.872549019607845
scaffold1-size789604-gene-1.16,54.251883745963404,39.720129171151775,45.748116254036596
scaffold1-size789604-gene-1.17,52.71317829457365,37.98449612403101,41.86046511627907
scaffold1-size789604-gene-1.18,55.432780847145494,41.06813996316759,42.9097605893186
scaffold1-size789604-gene-1.19,55.73352748452858,40.40771751001092,46.596286858390975
scaffold1-size789604-gene-1.2,55.48172757475083,40.863787375415285,48.837209302325576
scaffold1-size789604-gene-1.20,57.459379615952734,42.540620384047266,44.903988183161005
scaffold1-size789604-gene-1.21,55.58510638297872,45.47872340425532,57.180851063829785
scaffold1-size789604-gene-1.22,55.952380952380956,41.07142857142857,48.80952380952381
scaffold1-size789604-gene-1.23,56.60377358490566,46.41509433962264,50.943396226415096
scaffold1-size789604-gene-1.24,69.23076923076923,68.26923076923077,73.07692307692307
scaffold1-size789604-gene-1.25,60.49382716049383,43.20987654320987,62.96296296296296
scaffold1-size789604-gene-1.26,86.4244741873805,60.80305927342257,72.27533460803059
scaffold1-size789604-gene-1.27,87.75510204081633,70.06802721088435,60.544217687074834
scaffold1-size789604-gene-1.28,66.34615384615384,44.230769230769226,56.730769230769226
scaffold1-size789604-gene-1.29,57.36196319018405,36.809815950920246,54.601226993865026
scaffold1-size789604-gene-1.3,54.61538461538461,40.0,47.30769230769231
scaffold1-size789604-gene-1.4,54.506437768240346,48.497854077253216,50.21459227467812
scaffold1-size789604-gene-1.5,55.809128630705395,43.36099585062241,52.4896265560166
scaffold1-size789604-gene-1.6,56.375838926174495,42.281879194630875,50.55928411633109
scaffold1-size789604-gene-1.7,76.19047619047619,60.204081632653065,62.925170068027214
scaffold1-size789604-gene-1.8,49.014084507042256,37.46478873239437,43.66197183098591
scaffold1-size789604-gene-1.9,59.86622073578596,39.130434782608695,51.83946488294314
scaffold1-size789604-gene-2.39,56.659142212189614,46.04966139954853,52.03160270880362
scaffold1-size789604-gene-2.40,80.0561797752809,74.15730337078652,68.82022471910112
scaffold1-size789604-gene-2.41,56.99999999999999,44.333333333333336,50.66666666666667
scaffold1-size789604-gene-2.42,55.21601685985248,44.57323498419389,43.73024236037934
scaffold1-size789604-gene-2.43,61.30434782608696,60.0,61.73913043478261
scaffold1-size789604-gene-2.44,60.83916083916085,44.75524475524475,41.25874125874126
scaffold1-size789604-gene-2.45,66.66666666666666,58.06451612903226,48.38709677419355
scaffold1-size789604-gene-2.46,54.285714285714285,41.63265306122449,46.93877551020408
scaffold1-size789604-gene-2.47,52.58620689655172,43.75,45.474137931034484
scaffold1-size789604-gene-2.48,80.17241379310344,50.0,62.93103448275862
scaffold1-size789604-gene-2.49,57.123655913978496,45.16129032258064,41.80107526881721
scaffold1-size789604-gene-2.50,58.47750865051903,41.86851211072664,52.94117647058824
scaffold1-size789604-gene-2.51,60.24340770791075,45.436105476673426,59.2292089249493
scaffold1-size789604-gene-2.52,53.63321799307958,43.48327566320646,44.7520184544406
scaffold1-size789604-gene-2.53,51.92307692307693,41.73076923076923,49.42307692307693
scaffold1-size789604-gene-2.54,49.84025559105431,46.325878594249204,53.35463258785943
scaffold1-size789604-gene-2.55,53.32068311195446,42.314990512333964,54.459203036053125
scaffold1-size789604-gene-2.56,58.24372759856631,47.8494623655914,50.179211469534046
scaffold1-size789604-gene-2.57,58.40978593272171,43.730886850152906,51.37614678899083
scaffold1-size789604-gene-2.58,58.833333333333336,45.166666666666664,56.49999999999999
scaffold1-size789604-gene-2.59,50.71428571428571,41.07142857142857,43.57142857142857
scaffold1-size789604-gene-2.60,59.09090909090909,37.878787878787875,42.42424242424242
scaffold1-size789604-gene-2.61,54.90196078431373,40.896358543417364,48.4593837535014
scaffold1-size789604-gene-2.62,74.43609022556392,59.3984962406015,45.11278195488722
scaffold1-size789604-gene-2.63,56.90343176376695,38.86671987230647,44.852354349561054
scaffold1-size789604-gene-2.64,50.39682539682539,36.11111111111111,46.42857142857143
scaffold1-size789604-gene-2.65,54.932735426008975,65.91928251121077,49.55156950672646
scaffold1-size789604-gene-2.66,57.60980592441267,41.67517875383044,49.43820224719101
scaffold1-size789604-gene-2.67,76.0,66.0,72.0
