Query,n of total hits,n of nontarget,half n of total hits,Taxon dist HGT
scaffold1-size789604-gene-0.10,6,4.0,3.0,True
scaffold1-size789604-gene-0.12,2,2.0,1.0,True
scaffold1-size789604-gene-0.13,1,0.0,0.5,False
scaffold1-size789604-gene-0.15,18,16.0,9.0,True
scaffold1-size789604-gene-0.16,17,0.0,8.5,False
scaffold1-size789604-gene-0.17,22,19.0,11.0,True
scaffold1-size789604-gene-0.18,24,20.0,12.0,True
scaffold1-size789604-gene-0.19,1,0.0,0.5,False
scaffold1-size789604-gene-0.20,1,0.0,0.5,False
scaffold1-size789604-gene-0.21,19,18.0,9.5,True
scaffold1-size789604-gene-0.22,19,0.0,9.5,False
scaffold1-size789604-gene-0.24,18,0.0,9.0,False
scaffold1-size789604-gene-0.27,3,0.0,1.5,False
scaffold1-size789604-gene-0.28,3,3.0,1.5,True
scaffold1-size789604-gene-0.29,20,0.0,10.0,False
scaffold1-size789604-gene-0.30,1,0.0,0.5,False
scaffold1-size789604-gene-1.0,18,10.0,9.0,True
scaffold1-size789604-gene-1.1,3,0.0,1.5,False
scaffold1-size789604-gene-1.15,1,0.0,0.5,False
scaffold1-size789604-gene-1.16,20,0.0,10.0,False
scaffold1-size789604-gene-1.17,5,0.0,2.5,False
scaffold1-size789604-gene-1.18,1,0.0,0.5,False
scaffold1-size789604-gene-1.19,19,0.0,9.5,False
scaffold1-size789604-gene-1.2,1,0.0,0.5,False
scaffold1-size789604-gene-1.20,20,1.0,10.0,False
scaffold1-size789604-gene-1.21,18,0.0,9.0,False
scaffold1-size789604-gene-1.23,12,0.0,6.0,False
scaffold1-size789604-gene-1.25,5,2.0,2.5,False
scaffold1-size789604-gene-1.29,18,0.0,9.0,False
scaffold1-size789604-gene-1.3,18,17.0,9.0,True
scaffold1-size789604-gene-1.4,12,5.0,6.0,False
scaffold1-size789604-gene-1.5,22,0.0,11.0,False
scaffold1-size789604-gene-1.6,17,0.0,8.5,False
scaffold1-size789604-gene-1.8,17,0.0,8.5,False
scaffold1-size789604-gene-1.9,21,8.0,10.5,False
scaffold1-size789604-gene-2.39,4,3.0,2.0,True
scaffold1-size789604-gene-2.41,18,1.0,9.0,False
scaffold1-size789604-gene-2.42,16,15.0,8.0,True
scaffold1-size789604-gene-2.44,1,0.0,0.5,False
scaffold1-size789604-gene-2.46,8,1.0,4.0,False
scaffold1-size789604-gene-2.47,1,0.0,0.5,False
scaffold1-size789604-gene-2.49,19,0.0,9.5,False
scaffold1-size789604-gene-2.50,10,9.0,5.0,True
scaffold1-size789604-gene-2.51,17,0.0,8.5,False
scaffold1-size789604-gene-2.52,16,3.0,8.0,False
scaffold1-size789604-gene-2.53,1,0.0,0.5,False
scaffold1-size789604-gene-2.54,1,0.0,0.5,False
scaffold1-size789604-gene-2.55,1,0.0,0.5,False
scaffold1-size789604-gene-2.57,7,1.0,3.5,False
scaffold1-size789604-gene-2.58,18,0.0,9.0,False
scaffold1-size789604-gene-2.59,24,1.0,12.0,False
scaffold1-size789604-gene-2.60,1,0.0,0.5,False
scaffold1-size789604-gene-2.61,23,0.0,11.5,False
scaffold1-size789604-gene-2.63,1,0.0,0.5,False
scaffold1-size789604-gene-2.64,21,20.0,10.5,True
scaffold1-size789604-gene-2.66,15,0.0,7.5,False
scaffold1-size789604-gene-2.69,1,0.0,0.5,False
scaffold1-size789604-gene-2.71,1,0.0,0.5,False
scaffold1-size789604-gene-2.72,19,0.0,9.5,False
scaffold1-size789604-gene-2.73,6,0.0,3.0,False
scaffold1-size789604-gene-2.74,5,0.0,2.5,False
scaffold1-size789604-gene-2.75,1,0.0,0.5,False
scaffold1-size789604-gene-2.76,1,0.0,0.5,False
scaffold1-size789604-gene-2.77,13,0.0,6.5,False
scaffold1-size789604-gene-3.0,17,4.0,8.5,False
scaffold1-size789604-gene-3.14,16,0.0,8.0,False
scaffold1-size789604-gene-3.17,18,17.0,9.0,True
scaffold1-size789604-gene-3.18,23,0.0,11.5,False
scaffold1-size789604-gene-3.19,1,0.0,0.5,False
scaffold1-size789604-gene-3.2,1,0.0,0.5,False
scaffold1-size789604-gene-3.20,23,20.0,11.5,True
scaffold1-size789604-gene-3.22,3,0.0,1.5,False
scaffold1-size789604-gene-3.23,15,10.0,7.5,True
scaffold1-size789604-gene-3.27,18,0.0,9.0,False
scaffold1-size789604-gene-3.29,18,0.0,9.0,False
scaffold1-size789604-gene-3.3,3,0.0,1.5,False
