Query,Alien index (AI),AI > 30,HGT index (hU),hU >= 30,Evalue,Top species Evalue,Superkingdom
scaffold1-size789604-gene-0.10,-19.476733418201682,False,-28.099999999999994,False,1.6e-15,Porphyridium purpureum,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium
scaffold1-size789604-gene-0.12,97.87975688725287,True,185.7,True,3.0999999999999995e-43,Shewanella fidelis,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
scaffold1-size789604-gene-0.13,-460.51701859880916,False,-2451.0,False,0.0,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.15,-104.09730184534835,False,-150.20000000000002,False,6.8e-62,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.16,-125.33384729502234,False,-225.3,False,3.7e-55,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.17,-72.37931627449534,False,-104.30000000000001,False,8.099999999999996e-80,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.18,-23.500308909535576,False,-33.900000000000006,False,2.8e-45,Galdieria sulphuraria,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Galdieria
scaffold1-size789604-gene-0.19,-16.022785471153995,False,-70.1,False,1.1e-07,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.20,-12.429216196844383,False,-62.0,False,4e-06,Galdieria sulphuraria,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Galdieria
scaffold1-size789604-gene-0.21,-243.751246430623,False,-351.7,False,2.899999999999997e-193,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
